p(hercules | a) = 0.005555555555555556
p(</s> | hercules) = 1.0
p(as | <s>) = 0.011235955056179775
p(to | as) = 0.11627906976744186
p(the | to) = 0.0962566844919786
p(photograph | the) = 0.03170028818443804
p(your | photograph) = 0.058823529411764705
p(client | your) = 0.06451612903225806
p(may | client) = 0.16666666666666666
p(rest | may) = 0.047619047619047616
p(in | rest) = 1.0
p(peace | in) = 0.008130081300813009
p(</s> | peace) = 1.0
p(name | the) = 0.002881844380403458
p(is | name) = 0.25
p(no | is) = 0.02857142857142857
p(doubt | no) = 0.15384615384615385
p(familiar | doubt) = 0.25
p(to | familiar) = 1.0
p(you | to) = 0.0213903743315508
p(kindly | you) = 0.010101010101010102
p(look | kindly) = 0.5
p(her | look) = 0.14285714285714285
p(up | her) = 0.027777777777777776
p(in | up) = 0.08695652173913043
p(index | my) = 0.01639344262295082
p(doctor | index) = 1.0
p(murmured | doctor) = 0.2
p(holmes | murmured) = 1.0
p(without | holmes) = 0.02702702702702703
p(opening | without) = 0.1
p(his | opening) = 1.0
p(</s> | eyes) = 0.25
p(do | you) = 0.010101010101010102
p(her | know) = 0.07142857142857142
p(but | her) = 0.027777777777777776
p(has | she) = 0.08333333333333333
p(a | has) = 0.058823529411764705
p(soul | a) = 0.011111111111111112
p(of | soul) = 0.4
p(steel | of) = 0.005376344086021506
p(</s> | steel) = 1.0
p(just | was) = 0.020202020202020204
p(balancing | just) = 0.09090909090909091
p(whether | balancing) = 0.5
p(i | whether) = 0.75
p(run | should) = 0.08333333333333333
p(for | run) = 1.0
p(it | for) = 0.02702702702702703
p(or | it) = 0.008064516129032258
p(whether | or) = 0.05555555555555555
p(perch | should) = 0.08333333333333333
p(behind | perch) = 1.0
p(her | behind) = 0.5
p(landau | her) = 0.027777777777777776
p(when | landau) = 0.3333333333333333
p(a | when) = 0.08695652173913043
p(cab | a) = 0.005555555555555556
p(came | cab) = 0.3333333333333333
p(through | came) = 0.25
p(the | through) = 1.0
p(her | is) = 0.014285714285714285
p(carriage | her) = 0.027777777777777776
p(</s> | carriage) = 0.5
p(there | <s>) = 0.028089887640449437
p(will | there) = 0.06896551724137931
p(call | will) = 0.04
p(upon | call) = 0.125
p(you | upon) = 0.05
p(to | you) = 0.010101010101010102
p(night | to) = 0.0053475935828877
p(at | night) = 0.14285714285714285
p(a | at) = 0.022222222222222223
p(quarter | a) = 0.011111111111111112
p(to | quarter) = 0.5
p(eight | to) = 0.0053475935828877
p(it | clock) = 0.2
p(said | it) = 0.016129032258064516
p(a | said) = 0.07142857142857142
p(gentleman | a) = 0.016666666666666666
p(who | gentleman) = 0.125
p(desires | who) = 0.041666666666666664
p(to | desires) = 1.0
p(consult | to) = 0.0053475935828877
p(you | consult) = 1.0
p(upon | you) = 0.010101010101010102
p(a | upon) = 0.15
p(deepest | very) = 0.047619047619047616
p(moment | deepest) = 1.0
p(</s> | moment) = 0.25
p(slept | i) = 0.00510204081632653
p(at | slept) = 1.0
p(baker | at) = 0.044444444444444446
p(street | baker) = 1.0
p(that | street) = 0.06666666666666667
p(night | that) = 0.011235955056179775
p(and | night) = 0.42857142857142855
p(we | and) = 0.01
p(were | we) = 0.07142857142857142
p(engaged | were) = 0.045454545454545456
p(upon | engaged) = 0.5
p(our | upon) = 0.05
p(toast | our) = 0.09090909090909091
p(and | toast) = 1.0
p(coffee | and) = 0.005
p(in | coffee) = 1.0
p(when | morning) = 0.2
p(the | when) = 0.13043478260869565
p(of | king) = 0.2857142857142857
p(rushed | bohemia) = 0.125
p(into | rushed) = 0.3333333333333333
p(room | the) = 0.01729106628242075
p(</s> | room) = 0.1875
p(over | little) = 0.1
p(precipitance | over) = 0.1111111111111111
p(may | precipitance) = 1.0
p(ruin | may) = 0.047619047619047616
p(all | ruin) = 0.5
p(and | all) = 0.043478260869565216
p(now | and) = 0.005
p(i | now) = 0.21428571428571427
p(asked | i) = 0.01020408163265306
p(will | it) = 0.008064516129032258
p(end | will) = 0.04
p(in | end) = 0.2
p(being | my) = 0.01639344262295082
p(conveyed | being) = 0.25
p(into | conveyed) = 1.0
p(</s> | house) = 0.3333333333333333
p(shall | i) = 0.025510204081632654
p(drive | shall) = 0.125
p(out | drive) = 0.5
p(in | out) = 0.2
p(park | the) = 0.002881844380403458
p(at | park) = 1.0
p(five | at) = 0.022222222222222223
p(as | five) = 0.16666666666666666
p(usual | as) = 0.023255813953488372
p(she | usual) = 1.0
p(said | she) = 0.016666666666666666
p(as | said) = 0.07142857142857142
p(she | as) = 0.046511627906976744
p(left | she) = 0.03333333333333333
p(him | left) = 0.14285714285714285
p(</s> | him) = 0.2608695652173913
p(here | and) = 0.005
p(he | here) = 0.5
p(comes | he) = 0.012345679012345678
p(if | comes) = 0.5
p(i | if) = 0.09090909090909091
p(am | i) = 0.07142857142857142
p(not | am) = 0.13333333333333333
p(mistaken | not) = 0.02127659574468085
p(to | mistaken) = 1.0
p(resolve | to) = 0.0053475935828877
p(all | resolve) = 1.0
p(our | all) = 0.043478260869565216
p(doubts | our) = 0.09090909090909091
p(as | doubts) = 1.0
p(he | as) = 0.06976744186046512
p(spoke | he) = 0.024691358024691357
p(there | spoke) = 0.3333333333333333
p(was | there) = 0.2413793103448276
p(the | was) = 0.08080808080808081
p(sharp | the) = 0.002881844380403458
p(sound | sharp) = 0.5
p(of | sound) = 0.5
p(horses | of) = 0.005376344086021506
p(hoofs | horses) = 0.5
p(and | hoofs) = 1.0
p(grating | and) = 0.005
p(wheels | grating) = 1.0
p(against | wheels) = 0.3333333333333333
p(curb | the) = 0.002881844380403458
p(followed | curb) = 1.0
p(by | followed) = 0.6666666666666666
p(sharp | a) = 0.005555555555555556
p(pull | sharp) = 0.5
p(at | pull) = 0.3333333333333333
p(</s> | bell) = 0.4
p(now | <s>) = 0.016853932584269662
p(wonder | i) = 0.00510204081632653
p(who | wonder) = 1.0
p(the | who) = 0.041666666666666664
p(deuce | the) = 0.002881844380403458
p(that | deuce) = 1.0
p(could | that) = 0.011235955056179775
p(have | could) = 0.21428571428571427
p(iii | been) = 0.038461538461538464
p(</s> | iii) = 1.0
p(risen | had) = 0.0196078431372549
p(out | risen) = 1.0
